TEMPORARY,BURST_NUMBER,ORIENTATION,START_TIME,Gate0,Gate1,Gate2,Gate3,Gate4,Gate5,Gate6,Gate7,Gate8,Gate9,Gate10,Gate11,Gate12,Gate13,Gate14,Gate15,Gate16,Gate17,Gate18,Gate19,Gate20,Gate21,Gate22,Gate23,Gate24,FISH_ID,NUM_NA,NA_GATES,NUM_NEGATIVE,NEGATIVE_GATES,STATUS,PEAK_SPEED,PEAK_SPEED_START,PEAK_SPEED_DIST,PEAK_SPEED_FL,PEAK_SPEED_SL,PEAK_SPEED_2,PEAK_SPEED_2_START,PEAK_SPEED_2_DIST,PEAK_SPEED_2_FL,PEAK_SPEED_2_SL,PEAK_SPEED_3,PEAK_SPEED_3_START,PEAK_SPEED_3_DIST,PEAK_SPEED_3_FL,PEAK_SPEED_3_SL,AVE_SPEED,AVE_SPEED_FIRST_HALF,AVE_SPEED_FIRST_QUARTER,AVE_SPEED_SECOND_QUARTER,WEIGHTED_AVE_SPEED,WEIGHTED_AVE_SPEED_FIRST_HALF,WEIGHTED_AVE_SPEED_1Q,WEIGHTED_AVE_SPEED_2Q,TAGS,MISSED_GATES_FIRST_HALF,MISSED_GATES_SECOND_HALF,MISSED_GATES_FIRST_Q,MISSED_GATES_SECOND_Q,MISSED_GATES_LONGEST_GAP,MISSED_GATES_LONGEST_GAP_START,MISSED_GATES_LONGEST_GAP_EVENTS,MISSED_SEGMENTS_NUM,MISSED_SEGMENTS_FIRST_HALF,MISSED_SEGMENTS_FIRST_Q,MISSED_SEGMENTS_SECOND_Q,BURST_COUNT,TRIAL_TEMP,MASS,SL,FL,TL,TANK_ID,TOTAL_BURST_EVENTS,OBSERVER,COMMENTS,FAST_DATE_TIME,BURST_DATE_TIME,TRIAL_DURATION,FAST_DURATION
3,10,L,633.2,0,0.052033,0.175003,0.18577,0.222797,0.323436,0.411587,0.51717,0.621437,0.715073,0.811218,0.899286,1.015709,1.201854,1.258101,1.37184,1.508235,1.578196,1.667648,1.793318,2.009182,2.582163,2.679488,2.85315,2.87422,CS03,0,NA,0,NA,NA,104.6156421308114,5,5,19.02102584196571,21.350131047104366,88.89362988248273,55,5,16.162478160451403,18.141557118874026,71.46838953131036,70,5,12.99425264205643,14.585385618634767,43.35395026531182,51.96912446791624,52.55879740217316,50.818446066790074,43.103488826844334,52.03943103635128,52.62316873945808,50.89468938079813,NA,0,0,0,0,0,NA,0,0,0,0,0,8,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,11,R,664.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.252649,1.807979,2.045777,2.687752,3.154959,3.469917,3.675292,3.854377,4.386008,4.910213,5.014883,5.112012,5.192213,5.492956,5.801031,CS03,9,"0,1,2,3,4,5,6,7,8",0,NA,NA,47.76917932549897,85,5,8.685305331908904,9.748812107244687,40.63449273782324,85,8.200000000000003,7.388089588695134,8.292753619963925,35.46099290780141,85,10,6.447453255963893,7.236937328122736,16.219339788328003,10.411894141847238,NaN,10.411894141847238,9.438256037273133,1.4024730479221807,0,3.268281636120875,NA,9,0,8,2,9,0,1,27,27,20,8,9,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,12,L,705.9,0,0.06562,0.272804,0.522349,0.65264200000000006,3.337558,3.515677,3.645835,3.814193,NA,4.256103,4.411457,4.503987,4.64302,4.802809,4.918347,5.213426,5.397688,5.492424,5.628451,5.841359,NA,8.219026,8.406591,9.748648,CS03,2,"9,21",0,NA,NA,54.03652869339673,45,5,9.824823398799406,11.027862998652394,52.778246917750295,75,5,9.596044894136417,10.771070799540876,43.334503364924096,75,10,7.879000611804381,8.843776196923285,22.62294710015619,18.938239328506437,14.13741880608278,32.76039095942739,18.888314117040466,14.021755961985955,12.956395900025912,16.9607569057028,NA,1,1,0,1,1,9,2,10,6,0,6,10,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,13,L,760.4,0,0.040563,0.253213,0.652944,4.432692,11.46605,11.555042,11.600847,11.6856,11.725155,NA,NA,NA,NA,NA,0.105116,11.989468,12.025924,12.068763,12.10098,12.144095,12.176043,12.195914,12.232984,12.252317,CS03,5,"10,11,12,13,14",0,NA,NA,155.19756650216075,80,5,28.217739364029228,31.672972755543007,137.15163484748973,70,5,24.93666088136177,27.990129560712187,134.51467106679175,70,15,24.457212921234863,27.451973687100356,66.15658609432987,33.04049551686179,21.94743164165338,86.1235140292451,43.48578727230608,21.622875071255063,19.770288221606346,28.296688565528754,NA,3,3,0,3,5,10,1,21,9,0,9,11,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
3,14,L,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.159238,0.040381,0.069813,0.05699,CS03,20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0,NA,R2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,18,1.66,4.9,5.5,5.7,O2,12,AGM/AM,NA,NA,NA,NA,NA
4,1,L,1039.4,NA,NA,NA,NA,0,2.654515,2.71479,2.812,2.863026,2.896605,NA,NA,3.046057,3.106801,3.157822,3.229052,NA,3.326499,3.387219,3.437124,3.481245,NA,3.535096,NA,3.587514,CS04,9,"0,1,2,3,10,11,16,21,23",0,NA,NA,148.90258792697807,30,5,28.635113062880396,31.681401686591077,118.1963240943203,25,10,22.730062325830826,25.14815406262134,113.3247206545634,85,5,21.79321551049296,24.111642692460297,84.15882804859812,68.93404669655123,43.52328974622941,102.56938088459515,40.5634907336458,26.529921528612068,16.808381224332273,43.21514218511377,NA,6,3,4,2,4,0,1,35,20,12,8,1,18,1.36,4.7,5.2,5.6,O2,19,AGM/AM,NA,NA,NA,NA,NA
4,2,R,1104.7,0,0.134869,1.321659,NA,2.399887,NA,2.662468,2.773148,2.878694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.039518,NA,10.080455,CS04,16,"3,5,9,10,11,12,13,14,15,16,17,18,19,20,21,23",0,NA,NA,122.13889635292858,95,5,23.48824929864011,25.986999224027358,47.37270952949429,25,5,9.11013644797967,10.079299899892401,46.24790728219552,20,10,8.893828323499138,9.839980272807557,33.32721986440875,24.44605221555676,21.89864584734148,46.81030840584491,4.18531023012619,6.961586536032435,10.301959792132557,5.180315707180938,NA,6,11,2,4,13,9,1,58,23,11,12,2,18,1.36,4.7,5.2,5.6,O2,19,AGM/AM,NA,NA,NA,NA,NA
4,3,R,1169.6,NA,NA,0,NA,NA,NA,NA,NA,0.533639,0.620386,0.71726,NA,NA,NA,1.022109,NA,1.179439,1.261189,1.341474,1.373807,1.418148,NA,1.467605,1.541391,1.56942,CS04,12,"0,1,3,4,5,6,7,11,12,13,15,21",0,NA,NA,154.64076949246925,80,5,29.738609517782546,32.902291381376436,130.42230743146322,80,10,25.08121296758908,27.74942711307728,118.92397586636118,80,15,22.86999535891561,25.302973588587484,81.74373001900936,54.570772914930274,NaN,54.570772914930274,25.433096856955938,3.467455826389556,0,8.080456318386329,NA,9,4,7,3,5,3,1,47,30,20,11,3,18,1.36,4.7,5.2,5.6,O2,19,AGM/AM,NA,NA,NA,NA,NA
4,4,R,1370.9,NA,NA,NA,0,0.048307,4.299807,4.483921,4.610677,4.741033,4.809317,4.886723,4.990624,5.118697,5.217516,5.34167,5.434686,5.540073,5.616174,5.699138,5.821561,5.944294,5.988173,6.024403,6.080013,6.11865,CS04,3,"0,1,2",0,NA,NA,73.22359557143669,30,5,14.081460686814747,15.579488419454615,68.6388907955247,30,10,13.199786691447057,14.604019318196745,65.7021589729435,70,5,12.635030571719902,13.979182760200743,45.58215540512523,37.949157899291656,18.322969272532784,52.0353210767145,38.87974364620639,26.415210126176675,8.891398974883712,51.950751268247835,NA,3,0,3,0,3,0,1,10,10,10,0,4,18,1.36,4.7,5.2,5.6,O2,19,AGM/AM,NA,NA,NA,NA,NA
4,5,R,1412.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.294249,NA,0.52581,0.975836,0.940153,CS04,20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21",0,NA,NA,33.984822378325845,80,10,6.5355427650626625,7.230813271984222,28.527414845666687,80,15,5.486041316474362,6.0696627331205715,21.592582516054083,90,5,4.152419714625785,4.594166492777465,20.614173241818637,NaN,NaN,NaN,1.7775444247542607,0,0,0,NA,13,8,8,6,18,0,1,63,33,20,14,5,18,1.36,4.7,5.2,5.6,O2,19,AGM/AM,NA,NA,NA,NA,NA
