FISH_NUM,AS_TRIAL,Experiment Completed,ACC_TEMP,TEST_TEMP,FAST_DATE,TUNNEL_ID,AS_NUM,RMR,r^2 verfied,M Periods,MOD_RMR,MMR,r^2,MOD_MMR,M Period,MMR_SPEED,CONTROL_MEAN,MASS (g),SL,FL,TL,TANK_ID,RMR_mmHg,RMR_NUM,Vel_fail,Time_fail,MMR_mmHg,RMR Date,MMR Date,MMR_NUM,Controls
CS35_18.18_5.6.21,17,,18,18,5.6.21,1,CS35,330.0743,>.99,"43,42,44",,5.58E+02,0.98,"snip(2,1,,500); snip(3,1,,300)",2,20,79.08827,3.2,6.4,7,7.5,O2,761.9,45,20,28.27,763,5.7.21,5.8.21,3,"10,11,12"
CS36_18.18_5.6.21,17,,18,18,5.6.21,2,CS36,294.3998,>.98,"33,45,39",,837.6509,0.99,,8,34,-311.602,2.97,6.3,6.9,7.3,O2,761.9,45,37,165.05,763,5.7.21,5.8.21,9,"10,11,12"
CS37_18.25_5.8.21,18,MORT IN RECOVERY,18,25,5.8.21,1,CS37,,,,,,,,,,,,,,,O2,,,,,,,,,
CS38_18.25_5.8.21,18,,18,25,5.8.21,2,CS38,321.501943,>.99,"24,34,31",,818.49561,0.99,,12,46,26.52511,7,7.7,8.6,9.2,O2,761.8,34,49,151.38,761.2,5.9.21,5.10.21,14,"10,11,12"
CS39_18.11_5.9.21,19,SKIP M1 OF RMR,18,11,5.9.21,1,CS39,529.2629607,>.98,"14,4,24",,602.43553,0.98,,3,22,41.39965,3,6.3,6.9,7.2,O2,760.7,31,22,53.08,761,5.10.21,5.11.21,3,"7,8,9"
CS40_18.11_5.9.21,19,,18,11,5.9.21,2,CS40,165.2538,>.96,"4,14,30",,375.83295,0.99,,3,22,57.03546,3.9,6.9,7.4,7.9,O2,760.7,31,26,104.08,761,5.10.21,5.11.21,6,"7,8,9"
CS41_18.22_5.10.21,20,,18,22,5.10.21,1,CS41,385.7858669,>.99,"26,27,28",,5.14E+02,0.99,,4,24,67.30536,3.5,6.5,7.1,7.5,O2,761.5,38,28,105.26,761.1,5.11.21,5.12.21,6,"7,8,9"
CS42_18.14_5.10.21,20,,18,14,5.10.21,2,CS42,183.3559983,>.98,"38,37,35",,3.80E+02,0.98,,2,20,-165.3803,5.3,7.2,7.9,8.3,O2,761.5,38,24,75.08,761.1,5.11.21,5.12.21,4,"7,8,9"
CS43_18.18_5.11.21,21,,18,18,5.11.21,1,CS43,254.9215758,>.99,"35,34,30",,797.62934,0.99,,9,37,48.54247,5.3,7.5,8.1,8.5,O2,762.9,42,46,235.59,762.9,5.12.21,5.13.21,12,"7,8,9"
CS44_18.18_5.11.21,21,,18,18,5.11.21,2,CS44,304.5995793,>.99,"18,37,36",,682.52177,0.99,,5,26,80.00357,2.8,5.7,6.5,6.9,O2,762.9,42,26,94,762.9,5.12.21,5.13.21,5,"7,8,9"
CS45_18.25_5.12.21,22,,18,25,5.12.21,1,CS45,410.5903792,>.99,"27,33,32",,7.73E+02,0.99,,9,37,77.85843,4.2,6.5,7.2,7.5,O2,764.9,33,52,269.2,761,5.13.21,5.14.21,14,"13,14,15"
CS46_18.25_5.12.21,22,,18,25,5.12.21,2,CS46,410.2940916,>.99,"28,29,33",,1204.34299,0.99,,10,40,83.21271,3.9,6.7,7.3,7.6,O2,764.9,33,49,248.21,761,5.13.21,5.14.21,13,"13,14,15"
CS47_18.11_5.13.21,23,,18,11,5.13.21,1,CS47,176.1725925,>.98,"31,16,15",,5.29E+02,0.99,,11,43,18.8076,5.1,7.5,8,8.5,O2,760,32,43,222.41,760.9,5.14.21,5.15.21,11,"15,16,17"
CS48_18.11_5.13.21,23,MORT IN RECOVERY,18,11,5.13.21,2,CS48,,,,,,,,,,,,,,,O2,,,,,,,,,
CS49_18.18_5.15.21,24,MORT IN FASTING,18,18,5.15.21,1,CS49,,,,,,,,,,,,,,,O2,,,,,,,,,
CS50_18.18_5.15.21,24,,18,18,5.15.21,2,CS50,186.3156,>.98,"34,33,27",,350.9931921,0.96,"snip(1,2,,300)",1,18,43.84045,4.3,6.9,7.4,8.2,O2,760.6,34,22,58.48,763.4,5.16.21,5.17.21,3,"13,14,15"
CS51_18.25_5.16.21,25,RECOVERED IMMEDIATELY; TUNNEL VORTEXED,18,25,5.16.21,1,CS51,,,,,,,,,,,5.7,7.4,8.1,8.6,O2,764.5,39,37,161,759.3,5.17.21,5.18.21,9,"4,5,6"
CS52_18.25_5.16.21,25,MORT IN RMR,18,25,5.16.21,2,CS52,,,,,,,,,,,,,,,O2,,,,,,,,,
CS53_18.25_5.17.21,26,MORT IN RECOVERY,18,25,5.17.21,2,CS53,,,,,,,,,,,,,,,O2,,,,,,,,,
CS54_18.25_5.17.21,26,,18,25,5.17.21,2,CS54,,,,,,,,,,,5.74,7.6,8.2,8.7,O2,760.6,32,52,271.29,762.9,5.19.21,5.20.21,15,"16,17,18"
CS55_18.25_5.18.21,30,RECOVERED IMMEDIATELY; SKIP M1 and M2 in RMR,18,25,5.18.21,2,CS55,363.9178809,>.99,"9,18,16",,498.62277,0.99,,12,46,-104.2373,3.93,6.5,7.1,7.6,O2,765,29,46,239.54,766.99,5.23.21,5.24.21,12,"14,15"
CS56_18.25_5.18.21,30,MORT IN RMR,18,25,5.18.21,1,CS56,,,,,,,,,,,,,,,O2,,,,,,,,,
